Subject,Genotype,Group,Food,Group_3,D2OE_Chow_CON,D2OE_Dox_CON,Hold_Dur,Press_Req,Proportion
Sub_01,Con,Con_Chow,Chow,Con,1,1,5,5,0
Sub_01,Con,Con_Chow,Chow,Con,1,1,5,10,0
Sub_01,Con,Con_Chow,Chow,Con,1,1,5,20,0.383333
Sub_01,Con,Con_Chow,Chow,Con,1,1,5,40,0.766667
Sub_01,Con,Con_Chow,Chow,Con,1,1,5,80,1
Sub_01,Con,Con_Chow,Chow,Con,1,1,5,160,1
Sub_02,Con,Con_Chow,Chow,Con,1,1,5,5,0.366667
Sub_02,Con,Con_Chow,Chow,Con,1,1,5,10,0.066667
Sub_02,Con,Con_Chow,Chow,Con,1,1,5,20,0.3
Sub_02,Con,Con_Chow,Chow,Con,1,1,5,40,0.533333
Sub_02,Con,Con_Chow,Chow,Con,1,1,5,80,1
Sub_02,Con,Con_Chow,Chow,Con,1,1,5,160,0.984375
Sub_03,Con,Con_Chow,Chow,Con,1,1,5,5,0
Sub_03,Con,Con_Chow,Chow,Con,1,1,5,10,0.133333
Sub_03,Con,Con_Chow,Chow,Con,1,1,5,20,0.216667
Sub_03,Con,Con_Chow,Chow,Con,1,1,5,40,0.3
Sub_03,Con,Con_Chow,Chow,Con,1,1,5,80,0.84375
Sub_03,Con,Con_Chow,Chow,Con,1,1,5,160,0.926471
Sub_04,Con,Con_Chow,Chow,Con,1,1,5,5,0.833333
Sub_04,Con,Con_Chow,Chow,Con,1,1,5,10,0
Sub_04,Con,Con_Chow,Chow,Con,1,1,5,20,0.416667
Sub_04,Con,Con_Chow,Chow,Con,1,1,5,40,0.833333
Sub_04,Con,Con_Chow,Chow,Con,1,1,5,80,1
Sub_04,Con,Con_Chow,Chow,Con,1,1,5,160,1
Sub_05,Con,Con_Chow,Chow,Con,1,1,5,5,0.066667
Sub_05,Con,Con_Chow,Chow,Con,1,1,5,10,0
Sub_05,Con,Con_Chow,Chow,Con,1,1,5,20,0.35
Sub_05,Con,Con_Chow,Chow,Con,1,1,5,40,0.7
Sub_05,Con,Con_Chow,Chow,Con,1,1,5,80,1
Sub_05,Con,Con_Chow,Chow,Con,1,1,5,160,1
Sub_06,Con,Con_Chow,Chow,Con,1,1,5,5,0.1
Sub_06,Con,Con_Chow,Chow,Con,1,1,5,10,0.366667
Sub_06,Con,Con_Chow,Chow,Con,1,1,5,20,0.633333
Sub_06,Con,Con_Chow,Chow,Con,1,1,5,40,0.9
Sub_06,Con,Con_Chow,Chow,Con,1,1,5,80,1
Sub_06,Con,Con_Chow,Chow,Con,1,1,5,160,1
Sub_01,Con,Con_Chow,Chow,Con,1,1,10,5,0
Sub_01,Con,Con_Chow,Chow,Con,1,1,10,10,0
Sub_01,Con,Con_Chow,Chow,Con,1,1,10,20,0.4
Sub_01,Con,Con_Chow,Chow,Con,1,1,10,40,0.866667
Sub_01,Con,Con_Chow,Chow,Con,1,1,10,80,1
Sub_01,Con,Con_Chow,Chow,Con,1,1,10,160,1
Sub_02,Con,Con_Chow,Chow,Con,1,1,10,5,0
Sub_02,Con,Con_Chow,Chow,Con,1,1,10,10,0
Sub_02,Con,Con_Chow,Chow,Con,1,1,10,20,0.016667
Sub_02,Con,Con_Chow,Chow,Con,1,1,10,40,0.35
