Subject,Genotype,Dox,Group,D2_Chow_CON,D2_Dox_CON,Only_40,Press_Ratio,Press_Worktimes,Press_Latency
Sub_01,Control,Chow,Con_Chow,1,1,1,5,1.432,1.78667
Sub_01,Control,Chow,Con_Chow,1,1,1,10,3.29333,1.534
Sub_01,Control,Chow,Con_Chow,1,1,1,20,11.2857,2.99333
Sub_01,Control,Chow,Con_Chow,1,1,1,40,17.3987,3.69467
Sub_01,Control,Chow,Con_Chow,1,1,2,80,53.3591,14.7557
Sub_01,Control,Chow,Con_Chow,1,1,2,160,NaN,27.2739
Sub_02,Control,Chow,Con_Chow,1,1,1,5,1.53767,2.28533
Sub_02,Control,Chow,Con_Chow,1,1,1,10,3.47533,1.83267
Sub_02,Control,Chow,Con_Chow,1,1,1,20,11.5403,1.15767
Sub_02,Control,Chow,Con_Chow,1,1,1,40,15.4227,1.38067
Sub_02,Control,Chow,Con_Chow,1,1,2,80,51.7528,6.22767
Sub_02,Control,Chow,Con_Chow,1,1,2,160,NaN,19.409
Sub_03,Control,Chow,Con_Chow,1,1,1,5,1.32533,1.61467
Sub_03,Control,Chow,Con_Chow,1,1,1,10,2.498,1.89733
Sub_03,Control,Chow,Con_Chow,1,1,1,20,6.84833,1.947
Sub_03,Control,Chow,Con_Chow,1,1,1,40,11.5533,2.96867
Sub_03,Control,Chow,Con_Chow,1,1,2,80,25.2062,6.65233
Sub_03,Control,Chow,Con_Chow,1,1,2,160,NaN,3.463
Sub_04,Control,Chow,Con_Chow,1,1,1,5,2.857,2.50167
Sub_04,Control,Chow,Con_Chow,1,1,1,10,4.003,1.50667
Sub_04,Control,Chow,Con_Chow,1,1,1,20,14.1747,1.80833
Sub_04,Control,Chow,Con_Chow,1,1,1,40,21.2324,1.98367
Sub_04,Control,Chow,Con_Chow,1,1,2,80,54.4808,28.7926
Sub_04,Control,Chow,Con_Chow,1,1,2,160,NaN,41.9471
Sub_05,Control,Chow,Con_Chow,1,1,1,5,4.22667,2.08867
Sub_05,Control,Chow,Con_Chow,1,1,1,10,3.78267,1.659
Sub_05,Control,Chow,Con_Chow,1,1,1,20,10.9567,1.487
Sub_05,Control,Chow,Con_Chow,1,1,1,40,16.2393,1.26533
Sub_05,Control,Chow,Con_Chow,1,1,2,80,53.8746,7.089
Sub_05,Control,Chow,Con_Chow,1,1,2,160,NaN,14.9998
Sub_06,Control,Chow,Con_Chow,1,1,1,5,3.85167,2.999
Sub_06,Control,Chow,Con_Chow,1,1,1,10,6.21733,1.92433
Sub_06,Control,Chow,Con_Chow,1,1,1,20,17.47,2.27967
Sub_06,Control,Chow,Con_Chow,1,1,1,40,27.9537,2.60267
Sub_06,Control,Chow,Con_Chow,1,1,2,80,81.3637,7.86642
Sub_06,Control,Chow,Con_Chow,1,1,2,160,NaN,20.089
Sub_07,Control,Dox,Con_Dox,1,1,1,5,2.73,4.4476
Sub_07,Control,Dox,Con_Dox,1,1,1,10,3.9312,1.73
Sub_07,Control,Dox,Con_Dox,1,1,1,20,6.3532,1.7896
Sub_07,Control,Dox,Con_Dox,1,1,1,40,16.2096,2.0564
Sub_07,Control,Dox,Con_Dox,1,1,2,80,46.2033,4.9652
Sub_07,Control,Dox,Con_Dox,1,1,2,160,98.0325,8.16683
Sub_08,Control,Dox,Con_Dox,1,1,1,5,2.8232,1.2428
Sub_08,Control,Dox,Con_Dox,1,1,1,10,4.0856,1.6532
Sub_08,Control,Dox,Con_Dox,1,1,1,20,6.2384,1.7652
Sub_08,Control,Dox,Con_Dox,1,1,1,40,16.826,1.88
Sub_08,Control,Dox,Con_Dox,1,1,2,80,44.4933,2.2068
Sub_08,Control,Dox,Con_Dox,1,1,2,160,112.46,25.5136
Sub_09,Control,Dox,Con_Dox,1,1,1,5,3.7296,3.2252
Sub_09,Control,Dox,Con_Dox,1,1,1,10,5.6596,1.8632
Sub_09,Control,Dox,Con_Dox,1,1,1,20,9.4108,1.278
Sub_09,Control,Dox,Con_Dox,1,1,1,40,23.1828,2.1368
Sub_09,Control,Dox,Con_Dox,1,1,2,80,84.5952,4.4252
Sub_09,Control,Dox,Con_Dox,1,1,2,160,NaN,23.972
Sub_10,Control,Dox,Con_Dox,1,1,1,5,2.0952,1.5604
Sub_10,Control,Dox,Con_Dox,1,1,1,10,4.6948,1.7368
Sub_10,Control,Dox,Con_Dox,1,1,1,20,5.9008,1.9156
Sub_10,Control,Dox,Con_Dox,1,1,1,40,15.8388,2.7404
Sub_10,Control,Dox,Con_Dox,1,1,2,80,40.0617,5.828
Sub_10,Control,Dox,Con_Dox,1,1,2,160,69.959,2.276
Sub_11,Control,Dox,Con_Dox,1,1,1,5,2.9976,4.5736
Sub_11,Control,Dox,Con_Dox,1,1,1,10,5.4724,3.8792
Sub_11,Control,Dox,Con_Dox,1,1,1,20,7.9,2.9332
Sub_11,Control,Dox,Con_Dox,1,1,1,40,24.1089,3.3924
Sub_11,Control,Dox,Con_Dox,1,1,2,80,43.8356,7.5978
